id,release_date,title,production_budget,domestic_gross,worldwide_gross,year,movie_id,runtime_minutes,genres,averagerating,numvotes,studio,foreign_gross,roi,profit_musd,intl_share
48,2013-05-03,Iron Man 3,200000000.0,408992272.0,1215392272.0,2013,tt1300854,130.0,"Action,Adventure,Sci-Fi",7.2,692794,BV,805800000.0,5.07696136,1015.392272,0.6633232846249124
52,2012-11-08,Skyfall,200000000.0,304360277.0,1110526981.0,2012,tt1074638,143.0,"Action,Adventure,Thriller",7.8,592221,Sony,804200000.0,4.552634905,910.526981,0.7254454418810101
53,2013-06-21,Monsters University,200000000.0,268488329.0,743588329.0,2013,tt1453405,104.0,"Adventure,Animation,Comedy",7.3,291887,BV,475700000.0,2.717941645,543.588329,0.6392199144525955
55,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,2014,tt1877832,132.0,"Action,Adventure,Sci-Fi",8.0,620079,Fox,513900000.0,2.739313875,547.862775,0.6871960442904282
56,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,2014,tt1872181,142.0,"Action,Adventure,Sci-Fi",6.6,388363,Sony,506100000.0,2.54498168,508.996336,0.7138686682481525
57,2011-06-24,Cars 2,200000000.0,191450875.0,560155383.0,2011,tt1216475,106.0,"Adventure,Animation,Comedy",6.2,138914,BV,370700000.0,1.800776915,360.155383,0.6594315093790435
60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000.0,159555901.0,652220086.0,2018,tt4123430,134.0,"Adventure,Family,Fantasy",6.6,163151,WB,494100000.0,2.26110043,452.220086,0.7559023015689107
62,2011-06-17,Green Lantern,200000000.0,116601172.0,219535492.0,2011,tt1133985,114.0,"Action,Adventure,Sci-Fi",5.5,252281,WB,103300000.0,0.09767746,19.535492,0.46975647769626255
64,2011-06-29,Transformers: Dark of the Moon,195000000.0,352390543.0,1123790543.0,2011,tt1399103,154.0,"Action,Adventure,Sci-Fi",6.2,366409,P/DW,771400000.0,4.763028425641026,928.790543,0.686426847783146
66,2013-03-01,Jack the Giant Slayer,195000000.0,65187603.0,197687603.0,2013,tt1351685,114.0,"Adventure,Fantasy",6.3,123127,WB (NL),132500000.0,0.013782579487179487,2.687603,0.6702494136670776
67,2015-04-03,Furious 7,190000000.0,353007020.0,1518722794.0,2015,tt2820852,137.0,"Action,Crime,Thriller",7.2,335074,Uni.,1163.0,6.9932778631578945,1328.722794,3.294541191981377e-06
68,2013-05-16,Star Trek Into Darkness,190000000.0,228778661.0,467381584.0,2013,tt1408101,132.0,"Action,Adventure,Sci-Fi",7.7,445535,Par.,238600000.0,1.4599030736842105,277.381584,0.5105068329167899
69,2013-06-21,World War Z,190000000.0,202359711.0,531514650.0,2013,tt0816711,116.0,"Action,Adventure,Horror",7.0,553751,Par.,337600000.0,1.7974455263157896,341.51465,0.6252318332691307
72,2013-07-12,Pacific Rim,190000000.0,101802906.0,411002906.0,2013,tt1663662,131.0,"Action,Adventure,Sci-Fi",6.9,443667,WB,309200000.0,1.1631731894736843,221.002906,0.7523061162978736
73,2015-11-25,The Good Dinosaur,187500000.0,123087120.0,333771037.0,2015,tt1979388,93.0,"Adventure,Animation,Comedy",6.7,91465,BV,209100000.0,0.7801121973333334,146.271037,0.6294645018145195
77,2012-06-22,Brave,185000000.0,237282182.0,554606532.0,2012,tt1217209,93.0,"Adventure,Animation,Comedy",7.1,338728,BV,303200000.0,1.997873145945946,369.606532,0.5609805653130671
78,2017-03-10,Kong: Skull Island,185000000.0,168052812.0,561072059.0,2017,tt3731562,118.0,"Action,Adventure,Fantasy",6.6,237720,WB,398600000.0,2.0328219405405403,376.072059,0.7034289631302492
79,2016-07-22,Star Trek Beyond,185000000.0,158848340.0,335802233.0,2016,tt2660888,122.0,"Action,Adventure,Sci-Fi",7.1,209844,Par.,184600000.0,0.8151472054054054,150.802233,0.5374898594647451
80,2017-10-06,Blade Runner 2049,185000000.0,92054159.0,259357408.0,2017,tt1856101,164.0,"Drama,Mystery,Sci-Fi",8.0,376241,WB,167200000.0,0.40193193513513514,74.357408,0.6449269729940957
82,2017-11-03,Thor: Ragnarok,180000000.0,315058289.0,846980024.0,2017,tt3501632,130.0,"Action,Adventure,Comedy",7.9,482995,BV,538900000.0,3.7054445777777776,666.980024,0.6310612672090358
84,2014-05-30,Maleficent,180000000.0,241407328.0,758536735.0,2014,tt1587310,97.0,"Action,Adventure,Family",7.0,305832,BV,517100000.0,3.2140929722222222,578.536735,0.6817336905148529
88,2016-07-01,The Legend of Tarzan,180000000.0,126643061.0,348902025.0,2016,tt0918940,110.0,"Action,Adventure,Drama",6.3,150154,WB,230100000.0,0.9383445833333334,168.902025,0.6450020341110433
89,2011-11-23,Hugo,180000000.0,73864507.0,180047784.0,2011,tt0970179,126.0,"Adventure,Drama,Family",7.5,284869,Par.,111900000.0,0.00026546666666666665,0.047784,0.6023755657478745
90,2017-07-21,Valerian and the City of a Thousand Planets,180000000.0,40479370.0,215098356.0,2017,tt2239822,137.0,"Action,Adventure,Fantasy",6.5,139792,STX,184700000.0,0.19499086666666668,35.098356,0.820234997548843
91,2015-02-06,Jupiter Ascending,179000000.0,47482519.0,181982519.0,2015,tt1617661,127.0,"Action,Adventure,Sci-Fi",5.3,166327,WB,136600000.0,0.016662117318435754,2.982519,0.7420585112701549
93,2016-05-27,X-Men: Apocalypse,178000000.0,155442489.0,542537546.0,2016,tt3385516,144.0,"Action,Adventure,Sci-Fi",7.0,356556,Fox,388500000.0,2.047963741573034,364.537546,0.7142299192589825
94,2018-08-10,The Meg,178000000.0,145443742.0,529530715.0,2018,tt4779682,113.0,"Action,Horror,Sci-Fi",5.7,114042,WB,384800000.0,1.9748916573033708,351.530715,0.7257039914296621
95,2014-06-06,Edge of Tomorrow,178000000.0,100206256.0,370541256.0,2014,tt1631867,113.0,"Action,Sci-Fi",7.9,546284,WB,270300000.0,1.0816924494382023,192.541256,0.7295423373364038
98,2015-06-19,Inside Out,175000000.0,356461711.0,854235992.0,2015,tt2096673,95.0,"Adventure,Animation,Comedy",8.2,536181,BV,501100000.0,3.881348525714286,679.235992,0.5843311257631464
99,2017-07-07,Spider-Man: Homecoming,175000000.0,334201140.0,880166350.0,2017,tt2250912,133.0,"Action,Adventure,Sci-Fi",7.5,426302,Sony,546000000.0,4.029522,705.16635,0.6203127616944464
100,2016-08-05,Suicide Squad,175000000.0,325100054.0,746059887.0,2016,tt1386697,123.0,"Action,Adventure,Fantasy",6.0,533039,WB,421700000.0,3.2631993542857143,571.059887,0.564675909892208
2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,tt2380307,105.0,"Adventure,Animation,Comedy",8.4,277194,BV,597400000.0,3.5600462914285713,623.008101,0.7401570373121972
2,2017-11-22,Coco,175000000.0,209726015.0,798008101.0,2017,tt7002100,98.0,Horror,7.4,35,BV,597400000.0,3.5600462914285713,623.008101,0.7401570373121972
5,2017-06-16,Cars 3,175000000.0,152901115.0,383541369.0,2017,tt3606752,102.0,"Adventure,Animation,Comedy",6.8,59408,BV,231000000.0,1.1916649657142857,208.541369,0.6017174500782578
11,2017-05-12,King Arthur: Legend of the Sword,175000000.0,39175066.0,139630336.0,2017,tt1972591,126.0,"Action,Adventure,Drama",6.8,169054,WB,109500000.0,-0.2021123657142857,-35.369664,0.7365054742938537
12,2013-12-25,47 Ronin,175000000.0,38362475.0,151716815.0,2013,tt1335975,128.0,"Action,Adventure,Drama",6.3,135754,Uni.,113400000.0,-0.13304677142857144,-23.283185,0.7472202861741679
13,2018-06-22,Jurassic World: Fallen Kingdom,170000000.0,417719760.0,1305772799.0,2018,tt4881806,128.0,"Action,Adventure,Sci-Fi",6.2,219125,Uni.,891800000.0,6.681016464705882,1135.772799,0.6810130150307927
14,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,2014,tt2015381,121.0,"Action,Adventure,Comedy",8.1,948394,BV,440200000.0,3.5345148,600.867516,0.5691955957160245
15,2010-05-07,Iron Man 2,170000000.0,312433331.0,621156389.0,2010,tt1228705,124.0,"Action,Adventure,Sci-Fi",7.0,657690,Par.,311500000.0,2.653861111764706,451.156389,0.4992520587107407
